ticket_id,booking_id,customer_id,category,severity,workflow,created_ts,resolved_ts,first_response_hours,resolution_hours,csat_score,escalated_flag
TCK100000,CNR1326809,CID4604802,Ride Safety Concern,Critical,auto_routing,2024-11-29 23:34:23.277160779,2024-12-03 07:50:12.875311924,15.794139041999326,80.26377726420681,1,True
TCK100001,CNR4510807,CID7873618,Service Availability Complaint,Low,auto_routing,2024-09-14 14:03:55.184697103,2024-09-14 19:20:41.165904550,1.2068609021714687,5.27943922429136,5,False
TCK100002,CNR7721892,CID5214275,Vehicle Issue,High,legacy_manual,2024-12-16 20:03:34.647028838,2024-12-18 02:30:05.726084782,7.190833770868553,30.44196640442897,3,True
TCK100003,CNR6739317,CID8682675,Driver Complaint,Critical,auto_routing,2024-12-15 15:40:12.606820747,2024-12-18 04:20:43.028956034,19.111000698365185,60.67511725980209,3,True
TCK100004,CNR3614535,CID2507102,Refund Request,Medium,auto_routing,2024-01-26 14:25:29.655905305,2024-01-27 02:44:17.304334739,2.5430579034282523,12.313235674843195,4,False
TCK100005,CNR4499383,CID5717521,Service Availability Complaint,Low,auto_routing,2024-04-13 01:19:09.652532542,2024-04-13 02:54:46.773982307,0.33754110418345423,1.593644847157221,5,False
TCK100006,CNR9834201,CID7891331,Ride Safety Concern,Critical,auto_routing,2024-04-05 22:02:51.608238404,2024-04-06 20:30:55.126195276,5.595208642878187,22.4676438769089,2,False
TCK100007,CNR8087051,CID9716528,Driver Complaint,Critical,auto_routing,2024-07-13 22:31:23.905155594,2024-07-15 19:36:34.325640792,13.915893846296223,45.08622791255511,2,False
TCK100008,CNR5333099,CID5112050,Refund Request,High,auto_routing,2024-09-12 11:21:34.166203065,2024-09-13 06:44:36.941784793,6.355177431039912,19.38410432825756,3,False
TCK100009,CNR4130953,CID3196782,Vehicle Issue,Medium,auto_routing,2024-02-12 20:22:05.918341358,2024-02-13 20:01:14.115486227,4.749551945055387,23.652276984685837,3,True
TCK100010,CNR6693125,CID7364449,Driver Complaint,High,legacy_manual,2024-10-03 00:24:56.236141840,2024-10-04 00:42:24.968921663,6.56030000990687,24.291314661062362,3,False
TCK100011,CNR4862806,CID7875150,Refund Request,Medium,legacy_manual,2024-08-02 08:35:48.412866194,2024-08-03 00:49:10.961062926,4.289911220961609,16.22293005464795,2,False
TCK100012,CNR4674790,CID4795905,Vehicle Issue,Medium,auto_routing,2024-09-30 17:22:00.878954522,2024-10-01 21:25:00.857451959,6.905457302062535,28.049994027066397,4,False
TCK100013,CNR1572483,CID6059557,Ride Safety Concern,High,legacy_manual,2024-05-04 21:29:38.529957657,2024-05-05 06:48:40.208478099,2.288594697475293,9.31713292234501,4,False
TCK100014,CNR6945858,CID9079088,General Inquiry,Low,legacy_manual,2024-06-03 22:44:55.873782293,2024-06-04 03:06:50.616500723,1.3395184681071874,4.3652063106752035,4,False
TCK100015,CNR1349015,CID9386278,Driver Complaint,High,auto_routing,2024-09-11 14:59:10.254541424,2024-09-12 17:55:45.150906494,9.109909340127881,26.943026768074727,2,True
TCK100016,CNR4171959,CID8470723,Refund Request,Medium,legacy_manual,2024-05-09 13:13:53.885758690,2024-05-10 00:09:11.062955888,2.3167336538000187,10.92143811033281,3,False
TCK100017,CNR2497989,CID5007066,Booking Issue,Low,auto_routing,2024-02-09 11:51:37.275946141,2024-02-09 18:22:58.027097948,1.5338082435689995,6.522430875502439,5,False
TCK100018,CNR3740694,CID5885514,Refund Request,Medium,legacy_manual,2024-08-27 21:03:31.468153706,2024-08-28 05:23:34.329318191,1.960072830875702,8.334128101245641,3,False
TCK100019,CNR4660896,CID5486947,Refund Request,Medium,legacy_manual,2024-03-08 12:11:09.842580341,2024-03-08 19:08:01.542068473,2.119522230523103,6.947694302258784,3,False
TCK100020,CNR2513330,CID7805280,Refund Request,Medium,auto_routing,2024-03-20 13:49:00.363588941,2024-03-20 23:40:01.549909281,2.4932336178695538,9.850329533427622,4,False
TCK100021,CNR6204326,CID9419495,Driver Complaint,Critical,auto_routing,2024-12-22 11:54:40.320608349,2024-12-24 07:44:50.512239484,13.337955392758252,43.83616434198212,2,True
TCK100022,CNR6796311,CID1880505,Refund Request,Medium,legacy_manual,2024-02-23 14:45:08.971977810,2024-02-24 10:44:42.587297384,3.181393452738447,19.99267092210362,3,False
TCK100023,CNR2601752,CID9283370,Booking Issue,Low,legacy_manual,2024-11-25 13:53:14.543057440,2024-11-25 15:53:19.475679289,0.47651526542168404,2.001370172735931,4,False
TCK100024,CNR5266935,CID2831708,Driver Complaint,High,auto_routing,2024-09-26 12:23:53.980612712,2024-09-28 21:33:28.284326807,13.934042897129133,57.15952880947117,3,False
TCK100025,CNR5444321,CID3326946,Refund Request,Medium,auto_routing,2024-03-31 14:04:27.992898562,2024-03-31 23:29:08.231211653,2.0701579849897125,9.41117730919195,4,False
TCK100026,CNR6851549,CID9560489,Refund Request,Medium,auto_routing,2024-06-19 17:12:23.464892655,2024-06-20 07:19:13.459729618,4.02293054477424,14.113887454712174,3,False
TCK100027,CNR3318044,CID4051792,Service Availability Complaint,Low,auto_routing,2024-06-20 19:42:30.407549013,2024-06-21 02:46:39.684863720,1.2161103545908731,7.069243698529863,4,False
TCK100028,CNR6453539,CID6999817,Vehicle Issue,Medium,legacy_manual,2024-02-06 21:33:51.002212521,2024-02-07 17:58:47.134694135,6.1807976474882445,20.415592356003867,3,False
TCK100029,CNR5822542,CID1628370,Service Availability Complaint,Low,legacy_manual,2024-05-21 19:14:29.555568420,2024-05-21 23:42:10.535379559,1.3314470001740542,4.46138328087155,5,False
TCK100030,CNR6241612,CID5715130,Booking Issue,Low,legacy_manual,2024-01-07 19:53:21.651816934,2024-01-08 00:50:32.606344982,1.2639428412902702,4.953042924458192,4,False
TCK100031,CNR9935095,CID7359331,Ride Safety Concern,Critical,auto_routing,2024-06-24 23:47:23.145198756,2024-06-25 20:48:11.427114027,3.755150065008928,21.013411643131185,2,False
