booking_id,customer_id,booking_ts,booking_status,vehicle_type,pickup_location,drop_location,avg_vtat_min,avg_ctat_min,cancelled_by_customer_flag,customer_cancel_reason,cancelled_by_driver_flag,driver_cancel_reason,incomplete_flag,incomplete_reason,booking_value,ride_distance_km,driver_rating,customer_rating,payment_method,is_suspect_completed
CNR5884300,CID1982111,2024-03-23 12:29:38,No Driver Found,eBike,Palam Vihar,Jhilmil,,,,,,,,,,,,,,0
CNR1326809,CID4604802,2024-11-29 18:01:39,Incomplete,Go Sedan,Shastri Nagar,Gurgaon Sector 56,4.9,14.0,,,,,1,Vehicle Breakdown,237.0,5.73,,,UPI,0
CNR8494506,CID9202816,2024-08-23 08:56:10,Completed,Auto,Khandsa,Malviya Nagar,13.4,25.8,,,,,,,627.0,13.58,4.9,4.9,Debit Card,0
CNR8906825,CID2610914,2024-10-21 17:17:25,Completed,Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,,,,,,,416.0,34.02,4.6,5.0,UPI,0
CNR1950162,CID9933542,2024-09-16 22:08:00,Completed,Bike,Ghitorni Village,Khan Market,5.3,19.6,,,,,,,737.0,48.21,4.1,4.3,UPI,0
CNR4096693,CID4670564,2024-02-06 09:44:56,Completed,Auto,AIIMS,Narsinghpur,5.1,18.1,,,,,,,316.0,4.85,4.1,4.6,UPI,0
CNR2002539,CID6800553,2024-06-17 15:45:58,Completed,Go Mini,Vaishali,Punjabi Bagh,7.1,20.4,,,,,,,640.0,41.24,4.0,4.1,UPI,0
CNR6568000,CID8610436,2024-03-19 17:37:37,Completed,Auto,Mayur Vihar,Cyber Hub,12.1,16.5,,,,,,,136.0,6.56,4.4,4.2,UPI,0
CNR4510807,CID7873618,2024-09-14 12:49:09,No Driver Found,Go Sedan,Noida Sector 62,Noida Sector 18,,,,,,,,,,,,,,0
CNR7721892,CID5214275,2024-12-16 19:06:48,Incomplete,Auto,Rohini,Adarsh Nagar,6.1,26.0,,,,,1,Other Issue,135.0,10.36,,,Cash,0
CNR9070334,CID6680340,2024-06-14 16:24:12,Completed,Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,,,,,,,181.0,19.84,4.2,4.9,Cash,0
CNR9551927,CID7568143,2024-09-18 08:09:38,No Driver Found,Auto,Vidhan Sabha,AIIMS,,,,,,,,,,,,,,0
CNR4386945,CID5543520,2024-06-25 22:44:15,Cancelled by Driver,eBike,Patel Chowk,Kherki Daula Toll,4.6,,,,1,Personal & Car related issues,,,,,,,,0
CNR2987763,CID2669710,2024-09-11 19:29:39,Completed,Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,,,,,,,394.0,21.44,4.1,4.7,UPI,0
CNR8962232,CID1789354,2024-10-18 18:28:53,Completed,Go Mini,Madipur,GTB Nagar,14.0,30.9,,,,,,,836.0,39.55,4.7,4.4,UPI,0
